iteration,step,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,ratio_mean
116,2,6.603625,7.525,6.920400000000001,0.8123904466629028,20.566137313842773,2.518120288848877
117,1,6.514625,7.982,7.0872,6.61644983291626,4.417797088623047,10.246061325073242
117,2,6.900375,7.617,7.273000000000001,9.261856079101562,6.1939697265625,15.190839767456055
118,1,7.366875,8.205,7.749600000000001,5.122593879699707,12.428869247436523,10.659478187561035
118,2,6.462125,6.963,6.7824,0.1788998246192932,49.781063079833984,1.7004156112670898
119,1,6.60675,7.83,7.185,0.41829341650009155,11.099743843078613,3.435821533203125
119,2,6.5375,7.593,6.875,0.6923708319664001,21.56218147277832,7.754354476928711
120,1,7.104375,7.931,7.377599999999999,0.3079169988632202,21.72490119934082,2.5210468769073486
120,2,6.763375,7.9,7.287000000000001,0.9474933743476868,4.146029472351074,9.191749572753906
121,1,6.74225,7.783,7.0234000000000005,0.8373488187789917,9.982276916503906,6.20732307434082
121,2,6.942875000000001,8.814,7.779999999999999,1.904125452041626,22.7153377532959,3.668466091156006
122,1,7.36275,8.241,7.7238,1.2535107135772705,12.661296844482422,2.96136474609375
122,2,6.881875,7.644,7.2826,6.923079013824463,17.155960083007812,8.061549186706543
123,1,7.0901250000000005,7.991,7.3469999999999995,2.0792317390441895,21.214801788330078,6.149311065673828
123,2,6.8557500000000005,7.751,7.1492,0.2765333950519562,7.369448661804199,4.126560688018799
124,1,6.3347500000000005,7.629,6.8518,2.322009563446045,10.855143547058105,7.1794939041137695
124,2,6.618499999999999,7.52,6.9502,2.492412805557251,43.03347396850586,6.04843807220459
125,1,6.57075,7.45,7.048,1.481391429901123,2.820175886154175,3.505288600921631
125,2,6.13175,6.907,6.6056,0.718944787979126,3.4127185344696045,2.9815735816955566
126,1,6.5975,7.439,7.0294,1.6349748373031616,34.10245895385742,8.739599227905273
126,2,6.543,7.409,7.137600000000001,0.7462698221206665,7.253262519836426,18.662609100341797
127,1,6.2486250000000005,7.327,6.7692000000000005,0.745428204536438,29.725828170776367,2.3198065757751465
127,2,6.704625,8.023,7.3436,0.33122655749320984,7.795583248138428,1.8584576845169067
128,1,6.865285714285714,7.513,7.016799999999999,2.5800352096557617,4.4544358253479,5.290890693664551
128,2,6.829,8.106,7.627199999999999,2.349212169647217,9.127660751342773,64.3728256225586
129,1,6.694125,7.871,7.0236,0.8893455266952515,11.316610336303711,2.8609328269958496
129,2,6.287999999999999,6.981,6.650200000000001,1.1122182607650757,5.57518196105957,10.943986892700195
130,1,6.34075,7.315,6.7208,92.47783660888672,8.612808227539062,55.4466667175293
130,2,6.924875,7.884,7.3498,0.8481689691543579,9.455991744995117,1.965748906135559
131,1,6.9735,7.604,7.221199999999999,0.40193551778793335,7.260004997253418,2.089477777481079
131,2,6.9555,7.47,7.2318,1.0100136995315552,5.036019802093506,3.303696632385254
132,1,6.786375,9.287,7.4908,0.4625508189201355,9.659351348876953,2.770860195159912
132,2,6.69275,7.434,6.998600000000001,6.382561206817627,18.383392333984375,8.6058988571167
133,1,7.07025,8.023,7.5774,7.5884690284729,10.244306564331055,7.362240791320801
