original,augmented
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,COc1cc(-c2nc3n[nH]c(-c4ccc(C)cc4)c3c(C([O-])=O)c2)ccc1OC
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,c1c([S@@+]([OH2+])(=O)N2C[C@@H]3C[C@H](NC(=O)C)CN3C(=O)C2)cc(F)cc1
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,C1N([S@@+](c2cccc(F)c2)(=O)[OH2+])CC(=O)N2C[C@@H](NC(=O)C)C[C@@H]12
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,C1C(=O)N2C[C@@H](NC(C)=O)C[C@H]2CN1[S@@+]([OH2+])(c1cc(F)ccc1)=O
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,C1N2C(=O)CN([S@+]([OH2+])(=O)c3cc(F)ccc3)C[C@@H]2C[C@@H]1NC(=O)C
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,c1c(F)cccc1[S@+](N1CC(=O)N2C[C@@H](NC(C)=O)C[C@H]2C1)(=O)[OH2+]
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,c1cn2c(=O)c(C(NCc3ccncc3)=O)c([O-])nc2cc1
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,N(C(c1c([O-])nc2ccccn2c1=O)=O)Cc1ccncc1
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,c1c(CNC(c2c(=O)n3c(cccc3)nc2[O-])=O)ccnc1
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,c1cc2nc([O-])c(C(=O)NCc3ccncc3)c(=O)n2cc1
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,c12n(cccc1)c(=O)c(C(=O)NCc1ccncc1)c([O-])n2
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,c1(Nc2nc(-c3n4c(nccc4)nc3C)cs2)c(C)cccc1
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,c1c(Nc2nc(-c3n4c(nccc4)nc3C)cs2)c(C)ccc1
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,n12c(nc(C)c1-c1nc(Nc3c(C)cccc3)sc1)nccc2
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,N(c1nc(-c2c(C)nc3ncccn23)cs1)c1ccccc1C
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,Cc1c(-c2nc(Nc3ccccc3C)sc2)n2c(nccc2)n1
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,c1(C(c2cc3n4c(nnc4C)c(Nc4ccc(O)cc4)nc3cc2)=O)ccccc1
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,c1c2c(nc(Nc3ccc(O)cc3)c3nnc(C)n23)ccc1C(c1ccccc1)=O
