original,augmented,selfies
COc1ccccc1CCN1C(=O)N[C@H](CC(=O)N[C@@H]2CC[S@+](=O)([OH2+])C2)C1=O,COc1ccccc1CCN1C(=O)N[C@H](CC(=O)N[C@H]2C[S@+]([OH2+])(=O)CC2)C1=O,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][C][=Branch1][C][=O][N][C@H1][Branch2][Ring1][Ring2][C][C][=Branch1][C][=O][N][C@H1][C][S@+1][Branch1][C][OH2+1][=Branch1][C][=O][C][C][Ring1][#Branch1][C][Ring1][P][=O]
O=C1CCC(=O)N1c1cnn(Cc2ccccc2)c1,O=C1CCC(=O)N1c1cnn(Cc2ccccc2)c1,[O][=C][C][C][C][=Branch1][C][=O][N][Ring1][=Branch1][C][C][=N][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][N]
Cc1ccc2ncn(C3CCN(C(=O)Cc4c(F)cccc4F)CC3)c2c1,c1(C)ccc2ncn(C3CCN(C(Cc4c(F)cccc4F)=O)CC3)c2c1,[C][Branch1][C][C][=C][C][=C][N][=C][N][Branch2][Ring1][=N][C][C][C][N][Branch2][Ring1][C][C][Branch1][=C][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F][=O][C][C][Ring1][P][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][O]
O=C(NCc1ccc(F)cc1F)c1ccc2c(c1)nc1n2CCN(Cc2ccccn2)C1=O,c12nc3n(c1ccc(C(=O)NCc1ccc(F)cc1F)c2)CCN(Cc1ccccn1)C3=O,[C][N][=C][N][Branch2][Ring1][S][C][=Ring1][Branch1][C][=C][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F][=C][Ring2][Ring1][Branch1][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Ring2][Ring1][=C][=O]
NC(=O)c1c(NC(=O)[C@H]2CCCO2)sc2c1CCc1ccccc1-2,c12ccccc1CCc1c-2sc(NC(=O)[C@@H]2OCCC2)c1C(=O)N,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][Ring1][#Branch2][S][C][Branch1][=N][N][C][=Branch1][C][=O][C@@H1][O][C][C][C][Ring1][Branch1][=C][Ring1][=N][C][=Branch1][C][=O][N]
COc1ccc(N2C[C@H](C(=O)N3CC[NH2+]CC3)CC2=O)cc1,C([C@@H]1CC(=O)N(c2ccc(OC)cc2)C1)(=O)N1CC[NH2+]CC1,[C][Branch2][Ring1][=Branch2][C@@H1][C][C][=Branch1][C][=O][N][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][=C][=Branch1][C][=O][N][C][C][NH2+1][C][C][Ring1][=Branch1]
Cn1ncc(NC(=O)[C@@H]2CC=CC[C@H]2C(=O)[O-])c1C(N)=O,c1c(NC([C@H]2[C@H](C([O-])=O)CC=CC2)=O)c(C(N)=O)n(C)n1,[C][C][Branch2][Ring1][Branch1][N][C][Branch1][S][C@H1][C@H1][Branch1][=Branch1][C][Branch1][C][O-1][=O][C][C][=C][C][Ring1][=Branch2][=O][=C][Branch1][=Branch1][C][Branch1][C][N][=O][N][Branch1][C][C][N][=Ring2][Ring1][Branch1]
O=C(C1CCCCC1)n1cnc2ccccc21,c1c2n(C(=O)C3CCCCC3)cnc2ccc1,[C][=C][N][Branch1][=N][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1][C][=N][C][Ring1][=N][=C][C][=C][Ring1][P]
Cc1cccc(N2C(=O)C[C@@H](NCc3ccc([S@@+](N)(=O)[OH2+])cc3)C2=O)c1,O=C1C[C@@H](NCc2ccc([S@+](=O)(N)[OH2+])cc2)C(=O)N1c1cccc(C)c1,[O][=C][C][C@@H1][Branch2][Ring1][Branch1][N][C][C][=C][C][=C][Branch1][=Branch2][S@+1][=Branch1][C][=O][Branch1][C][N][OH2+1][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1]
N[S@+](=O)([OH2+])c1ccc(CN[C@H]2CC(=O)N(c3ccc(Cl)cc3)C2=O)cc1,C1(=O)N(c2ccc(Cl)cc2)C(=O)[C@@H](NCc2ccc([S@+](N)([OH2+])=O)cc2)C1,[C][=Branch1][C][=O][N][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C@@H1][Branch2][Ring1][Branch1][N][C][C][=C][C][=C][Branch1][=Branch2][S@+1][Branch1][C][N][Branch1][C][OH2+1][=O][C][=C][Ring1][#Branch2][C][Ring2][Ring1][#Branch2]
